,Start,End,Dist
239,Noida Sector 81,NSEZ Noida,2.0
240,NSEZ Noida,Noida Sector 83,1.1000000000000005
241,Noida Sector 83,Noida Sector 137,1.5
242,Noida Sector 137,Noida Sector 142,1.5999999999999996
243,Noida Sector 142,Noida Sector 143,1.0
244,Noida Sector 143,Noida Sector 144,1.4000000000000004
245,Noida Sector 144,Noida Sector 145,1.1999999999999993
246,Noida Sector 145,Noida Sector 146,1.700000000000001
247,Noida Sector 146,Noida Sector 147,1.5
248,Noida Sector 147,Noida Sector 148,1.5999999999999979
249,Noida Sector 148,Knowledge Park II,2.5
250,Knowledge Park II,Pari Chowk Greater Noida,1.1000000000000014
251,Pari Chowk Greater Noida,Alpha 1 Greater Noida,0.8999999999999986
252,Alpha 1 Greater Noida,Delta 1 Greater Noida,1.5
253,Delta 1 Greater Noida,GNIDA Office,1.3000000000000007
254,GNIDA Office,Depot Greater Noida,0.9000000000000021
255,Dwarka,Nangli,1.5
256,Nangli,Najafgarh,2.4
257,New Delhi-Airport Express,Shivaji Stadium,1.9
258,Shivaji Stadium,Dhaula Kuan,6.4
259,Dhaula Kuan,Delhi Aerocity,6.199999999999999
260,Delhi Aerocity,IGI Airport,3.3999999999999986
261,IGI Airport,Dwarka Sector 21,2.900000000000002
